Dia;Temp Media (ºC);Humedad Media (%);Velviento (m/s);Radiación (MJ/m2);Precipitación (mm)
308;11,57;55,39;1;10,39;0
309;10,78;56,86;0,79;11,47;0
310;11,44;42,69;0,96;12,93;0
311;13,25;34,37;1,26;12,93;0
312;15,29;48,01;0,84;12,46;0
313;11,94;55,72;0,62;11,93;0
314;14,43;61,18;0,62;9,41;0
315;14,6;64,32;0,65;10,8;0,81
316;15,1;72,3;0,5;6,43;0
317;14,36;74;0,54;11,19;0
318;12,92;71,4;0,61;11,55;0,2
319;12,72;50,14;1;11,32;0
320;11,14;58,11;0,69;11,49;0
321;12,15;63,57;0,7;9,87;0
322;11,8;79,6;0,45;5,24;4,06
323;12,07;92,6;0,36;3,09;6,9
324;12,11;;0,23;2,54;9,74
325;13,12;85,5;0,43;8,27;0
326;11,12;91,4;0,71;3,5;4,47
327;10,31;70,2;0,82;10,84;6,09
328;8,33;72,4;1,17;4,06;2,84
329;10,75;58,43;2,09;7,44;0
330;10,27;53,59;1,13;10,29;0
331;9,27;51,73;2;7,98;0,61
332;8,64;46,02;1,64;6,26;0
333;13,56;52,36;1,52;10,06;0
334;11,73;68,14;0,68;10,12;0
335;11,12;68,19;1,11;9,91;1,42
336;10,56;50,45;1,9;10,8;0,2
337;11,76;45,85;1,06;10,21;0
338;13,46;53,59;1,47;8,54;0
339;11,64;46,89;2,26;8,48;0
340;12,71;46,55;1,38;8,17;0
341;14,15;58,35;1,33;6,5;0
342;12,25;51,92;1,75;7,96;0,41
343;11,97;53,04;1,07;9,52;0
344;15,37;53,28;1,7;5,5;0
345;15,2;49,33;1,37;9,41;0
346;11,9;71,6;0,58;9,67;0
347;9,45;86,5;0,44;9,23;0,2
348;9,06;86,3;0,42;9,25;0
349;8,57;85,4;0,5;9,17;0
350;8,42;89,4;0,45;6,43;0
351;7,59;89,1;0,49;4,12;0
352;9,79;84,3;0,34;1,76;0
353;9,14;93,4;0,4;3,54;0
354;10,04;79,6;0,48;8,09;0,2
355;13,67;75,6;0,57;5,93;0
356;9,49;98,6;0,27;2,25;0,41
357;11,92;88,6;0,43;8,23;0
358;12,73;86,2;0,62;3,27;0,61
359;13,97;72,8;0,57;4,82;0
360;13,97;75,5;0,94;6,17;0
361;17,28;61,13;1,9;9,36;0,2
362;16,33;55,86;1,94;7,78;0
363;16,57;49,97;1,2;8,99;0
364;13,62;66,04;0,56;9,74;0
365;12,82;64,25;0,56;9,76;0
1;12,24;68,25;0,53;9,84;0
2;12,49;61,34;0,5;9,56;0
3;10,76;75,9;0,65;9,19;0
4;15,79;55,54;0,96;9,53;0
5;11,11;40,57;2,62;7,51;0
6;6,56;46;0,74;10,44;0
7;8,52;45,65;1,06;10,07;0
8;10,96;39,23;1,45;9,03;0
9;13,85;43,33;1,27;7,99;0
10;17;55,39;1,93;7,18;0
11;10,06;93,1;0,44;5,96;0
12;8,12;72,9;0,61;10,27;4,06
13;7,67;87,5;0,62;9,79;2,64
14;5,92;83,3;0,68;8,08;0
15;6,74;74,4;0,56;10,43;0,2
16;6,21;68,91;0,64;10,75;0
17;5,77;66,2;0,55;10,78;0
18;5,74;60,82;0,48;11,22;0
19;5,08;75,4;0,84;9,56;0
20;5,69;78,7;0,65;10,55;0
